gene_entry,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Med13,Q5SWW4,MED13_MOUSE,reviewed,Mediator of RNA polymerase II transcription subunit 13 (Thyroid hormone receptor-associated protein 1) (Thyroid hormone receptor-associated protein complex 240 kDa component) (Trap240),Med13 Kiaa0593 Thrap1 Trap240,Mus musculus (Mouse),2171
Med14,A2ABV5,MED14_MOUSE,reviewed,Mediator of RNA polymerase II transcription subunit 14 (Cofactor required for Sp1 transcriptional activation subunit 2) (CRSP complex subunit 2) (Mediator complex subunit 14) (Thyroid hormone receptor-associated protein complex 170 kDa component) (Trap170),Med14 Crsp2 Gm641 Trap170,Mus musculus (Mouse),1459
Med25,Q8VCB2,MED25_MOUSE,reviewed,Mediator of RNA polymerase II transcription subunit 25 (Mediator complex subunit 25) (mMED25),Med25,Mus musculus (Mouse),745
Med25,Q8VCS6,MED9_MOUSE,reviewed,Mediator of RNA polymerase II transcription subunit 9 (Mediator complex subunit 9),Med9 Med25,Mus musculus (Mouse),142
Med26,Q7TN02,MED26_MOUSE,reviewed,Mediator of RNA polymerase II transcription subunit 26 (Cofactor required for Sp1 transcriptional activation subunit 7) (CRSP complex subunit 7) (Mediator complex subunit 26),Med26 Crsp7,Mus musculus (Mouse),588
Mef2d,Q63943,MEF2D_MOUSE,reviewed,Myocyte-specific enhancer factor 2D,Mef2d,Mus musculus (Mouse),514
Memo1,Q91VH6,MEMO1_MOUSE,reviewed,Protein MEMO1 (Mediator of ErbB2-driven cell motility 1) (Memo-1),Memo1,Mus musculus (Mouse),297
Mesdc2,Q9ERE7,MESD_MOUSE,reviewed,LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein),Mesd Mesdc2,Mus musculus (Mouse),224
Met,P16056,MET_MOUSE,reviewed,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met),Met,Mus musculus (Mouse),1379
Met,Q8CH25,SLTM_MOUSE,reviewed,SAFB-like transcription modulator (Modulator of estrogen-induced transcription) (SAF-like transcription modulator),Sltm Met,Mus musculus (Mouse),1031
Metap1,Q8BP48,MAP11_MOUSE,reviewed,Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1),Metap1,Mus musculus (Mouse),386
Metap2,O08663,MAP2_MOUSE,reviewed,Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Initiation factor 2-associated 67 kDa glycoprotein) (p67) (p67eIF2) (Peptidase M),Metap2 Mnpep P67eif2,Mus musculus (Mouse),478
Metrnl,Q8VE43,METRL_MOUSE,reviewed,Meteorin-like protein (Subfatin),Metrnl,Mus musculus (Mouse),311
Mettl1,Q9Z120,TRMB_MOUSE,reviewed,tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (Methyltransferase-like protein 1) (mRNA (guanine-N(7)-)-methyltransferase) (EC 2.1.1.-) (miRNA (guanine-N(7)-)-methyltransferase) (EC 2.1.1.-) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase),Mettl1,Mus musculus (Mouse),268
Mettl13,Q91YR5,EFNMT_MOUSE,reviewed,eEF1A lysine and N-terminal methyltransferase (eEF1A-KNMT) (Methyltransferase-like protein 13) [Includes: eEF1A lysine methyltransferase (EC 2.1.1.-); eEF1A N-terminal methyltransferase (EC 2.1.1.-)],EEF1AKNMT Kiaa0859 Mettl13,Mus musculus (Mouse),698
Mettl16,Q9CQG2,MET16_MOUSE,reviewed,RNA N6-adenosine-methyltransferase METTL16 (Methyltransferase 10 domain-containing protein) (Methyltransferase-like protein 16) (N6-adenosine-methyltransferase METTL16) (EC 2.1.1.348) (U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase) (EC 2.1.1.346),Mettl16 Mett10d,Mus musculus (Mouse),553
Mettl6,Q8BVH9,METL6_MOUSE,reviewed,tRNA N(3)-methylcytidine methyltransferase METTL6 (EC 2.1.1.-) (Methyltransferase-like protein 6),Mettl6,Mus musculus (Mouse),282
Mettl7b,Q9DD20,MET7B_MOUSE,reviewed,Methyltransferase-like protein 7B (EC 2.1.1.-),Mettl7b,Mus musculus (Mouse),244
Mfap3,Q922T2,MFAP3_MOUSE,reviewed,Microfibril-associated glycoprotein 3,Mfap3,Mus musculus (Mouse),349
Mfn1,Q811U4,MFN1_MOUSE,reviewed,Mitofusin-1 (EC 3.6.5.-) (Transmembrane GTPase MFN1),Mfn1,Mus musculus (Mouse),741
Mfn2,Q80U63,MFN2_MOUSE,reviewed,Mitofusin-2 (EC 3.6.5.-) (Hypertension-related protein 1) (Mitochondrial assembly regulatory factor) (HSG protein) (Transmembrane GTPase MFN2),Mfn2 Kiaa0214 Marf,Mus musculus (Mouse),757
Mfsd12,Q3U481,MFS12_MOUSE,reviewed,Major facilitator superfamily domain-containing protein 12,Mfsd12,Mus musculus (Mouse),476
Mfsd14a,P70187,MF14A_MOUSE,reviewed,Hippocampus abundant transcript 1 protein (Major facilitator superfamily domain-containing 14A),Mfsd14a Hiat1,Mus musculus (Mouse),490
Mfsd4,Q6PDC8,MFD4A_MOUSE,reviewed,Major facilitator superfamily domain-containing protein 4A (Major facilitator superfamily domain-containing protein 4),Mfsd4a Mfsd4,Mus musculus (Mouse),510
Mfsd5,Q921Y4,MFSD5_MOUSE,reviewed,Molybdate-anion transporter (Major facilitator superfamily domain-containing protein 5) (Molybdate transporter 2 homolog),Mfsd5,Mus musculus (Mouse),450
Mgat1,P27808,MGAT1_MOUSE,reviewed,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (GNT-I) (GlcNAc-T I)",Mgat1 Gnt1,Mus musculus (Mouse),447
Mgat3,Q10470,MGAT3_MOUSE,reviewed,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (EC 2.4.1.144) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase III) (GNT-III) (GlcNAc-T III) (N-acetylglucosaminyltransferase III)",Mgat3,Mus musculus (Mouse),538
Mgat4a,Q812G0,MGT4A_MOUSE,reviewed,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (GlcNAc-T IVa) (GnT-IVa) (N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa) [Cleaved into: Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A soluble form]",Mgat4a,Mus musculus (Mouse),535
Mgat4c,Q9D306,MGT4C_MOUSE,reviewed,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVc) (GnT-IVc) (N-acetylglucosaminyltransferase IVc) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVc)",Mgat4c,Mus musculus (Mouse),478
Mgat5,Q8R4G6,MGT5A_MOUSE,reviewed,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase) (GlcNAc-T V) (GNT-V) (Mannoside acetylglucosaminyltransferase 5) (N-acetylglucosaminyl-transferase V) [Cleaved into: Secreted alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (Secreted beta-1,6-N-acetylglucosaminyltransferase V) (Secreted GNT-V)]",Mgat5,Mus musculus (Mouse),740
Mgst1,Q91VS7,MGST1_MOUSE,reviewed,Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I),Mgst1,Mus musculus (Mouse),155
Mia2,Q91ZV0,MIA2_MOUSE,reviewed,Melanoma inhibitory activity protein 2 (CTAGE family member 5 ER export factor),Mia2 Ctage5,Mus musculus (Mouse),1396
Mia3,Q8BI84,TGO1_MOUSE,reviewed,Transport and Golgi organization protein 1 homolog (TANGO1) (Melanoma inhibitory activity protein 3),Mia3 Kiaa0268 Tango,Mus musculus (Mouse),1930
Mib1,Q80SY4,MIB1_MOUSE,reviewed,E3 ubiquitin-protein ligase MIB1 (EC 2.3.2.27) (DAPK-interacting protein 1) (DIP-1) (Mind bomb homolog 1) (RING-type E3 ubiquitin transferase MIB1),Mib1 Dip1 Kiaa1323 Mib,Mus musculus (Mouse),1006
Micall2,Q3TN34,MILK2_MOUSE,reviewed,MICAL-like protein 2 (Junctional Rab13-binding protein) (Molecule interacting with CasL-like 2) (MICAL-L2),Micall2 Jrab,Mus musculus (Mouse),1009
Micu1,Q8VCX5,MICU1_MOUSE,reviewed,"Calcium uptake protein 1, mitochondrial (Calcium-binding atopy-related autoantigen 1 homolog)",Micu1 Cbara1,Mus musculus (Mouse),477
Mid1ip1,Q9CQ20,M1IP1_MOUSE,reviewed,Mid1-interacting protein 1 (Gastrulation-specific G12-like protein) (Mid1-interacting G12-like protein) (Protein STRAIT11499 homolog) (Spot 14-related protein) (S14R) (Spot 14-R),Mid1ip1 Mig12,Mus musculus (Mouse),182
Midn,Q3TPJ7,MIDN_MOUSE,reviewed,Midnolin (Midbrain nucleolar protein),Midn,Mus musculus (Mouse),465
Mief2,Q5NCS9,MID49_MOUSE,reviewed,Mitochondrial dynamics protein MID49 (Mitochondrial dynamics protein of 49 kDa homolog) (Mitochondrial elongation factor 2) (Smith-Magenis syndrome chromosomal region candidate gene 7 protein homolog),Mief2 Gm11 Mid49 Smcr7,Mus musculus (Mouse),454
Mier3,Q3UHF3,MIER3_MOUSE,reviewed,Mesoderm induction early response protein 3 (Mi-er3),Mier3,Mus musculus (Mouse),551
Mif,P34884,MIF_MOUSE,reviewed,Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Delayed early response protein 6) (DER6) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase),Mif,Mus musculus (Mouse),115
Mink1,Q9JM52,MINK1_MOUSE,reviewed,Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6),Mink1 Map4k6 Mink,Mus musculus (Mouse),1308
Minpp1,Q9Z2L6,MINP1_MOUSE,reviewed,"Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80) (Inositol (1,3,4,5)-tetrakisphosphate 3-phosphatase) (Ins(1,3,4,5)P(4) 3-phosphatase)",Minpp1 Mipp MNCb-1572,Mus musculus (Mouse),481
Misp,Q9D279,MISP_MOUSE,reviewed,Mitotic interactor and substrate of PLK1 (Mitotic spindle positioning protein),Misp,Mus musculus (Mouse),648
Mkl2,P59759,MRTFB_MOUSE,reviewed,Myocardin-related transcription factor B (MRTF-B) (MKL/myocardin-like protein 2),Mrtfb Mkl2,Mus musculus (Mouse),1080
Mkln1,O89050,MKLN1_MOUSE,reviewed,Muskelin,Mkln1,Mus musculus (Mouse),735
Mknk2,Q8CDB0,MKNK2_MOUSE,reviewed,MAP kinase-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 2) (MAPK signal-integrating kinase 2) (Mnk2),Mknk2 Mnk2,Mus musculus (Mouse),459
Mkrn3,O70456,1433S_MOUSE,reviewed,14-3-3 protein sigma (Stratifin),Sfn Mkrn3,Mus musculus (Mouse),248
Mkrn3,Q60764,MKRN3_MOUSE,reviewed,Probable E3 ubiquitin-protein ligase makorin-3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase makorin-3) (Zinc finger protein 127),Mkrn3 Zfp127 Znf127,Mus musculus (Mouse),544
Mllt3,A2AM29,AF9_MOUSE,reviewed,Protein AF-9 (Myeloid/lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein homolog),Mllt3 Af9,Mus musculus (Mouse),569
Mllt4,Q9QZQ1,AFAD_MOUSE,reviewed,Afadin (Afadin adherens junction formation factor) (Protein Af-6),Afdn Af6 Mllt4,Mus musculus (Mouse),1820
Mlxip,Q2VPU4,MLXIP_MOUSE,reviewed,MLX-interacting protein (Transcriptional activator MondoA),Mlxip Mir,Mus musculus (Mouse),917
Mmd,Q9CQY7,PAQRB_MOUSE,reviewed,Monocyte to macrophage differentiation factor (Progestin and adipoQ receptor family member 11) (Progestin and adipoQ receptor family member XI),Mmd Paqr11,Mus musculus (Mouse),238
Mmp14,P53690,MMP14_MOUSE,reviewed,Matrix metalloproteinase-14 (MMP-14) (EC 3.4.24.80) (MMP-X1) (MT-MMP) (Membrane-type matrix metalloproteinase 1) (MT-MMP 1) (MTMMP1) (Membrane-type-1 matrix metalloproteinase) (MT1-MMP) (MT1MMP),Mmp14 Mtmmp,Mus musculus (Mouse),582
Mnt,O08789,MNT_MOUSE,reviewed,Max-binding protein MNT (Myc antagonist MNT) (Protein ROX),Mnt Rox,Mus musculus (Mouse),591
Mob1a,Q921Y0,MOB1A_MOUSE,reviewed,MOB kinase activator 1A (Mob1 homolog 1B) (Mps one binder kinase activator-like 1B),Mob1a Mobk1b Mobkl1b,Mus musculus (Mouse),216
Mob1b,Q8BPB0,MOB1B_MOUSE,reviewed,MOB kinase activator 1B (Mob1 homolog 1A) (Mps one binder kinase activator-like 1A),Mob1b Mobkl1a,Mus musculus (Mouse),216
Morc3,F7BJB9,MORC3_MOUSE,reviewed,MORC family CW-type zinc finger protein 3 (Nuclear matrix protein 2) (Zinc finger CW-type coiled-coil domain protein 3),Morc3 Nxp2 Zcwcc3,Mus musculus (Mouse),942
Morf4l2,Q9R0Q4,MO4L2_MOUSE,reviewed,Mortality factor 4-like protein 2 (MORF-related gene X protein) (Sid 393) (Transcription factor-like protein MRGX),Morf4l2 Kiaa0026 Sid393,Mus musculus (Mouse),288
Mov10,P23249,MOV10_MOUSE,reviewed,Putative helicase MOV-10 (EC 3.6.4.13) (Moloney leukemia virus 10 protein),Mov10 Gb110,Mus musculus (Mouse),1004
Mpdu1,Q9R0Q9,MPU1_MOUSE,reviewed,Mannose-P-dolichol utilization defect 1 protein (Suppressor of Lec15 and Lec35 glycosylation mutation homolog) (SL15),Mpdu1 Supl15h,Mus musculus (Mouse),247
Mpp1,P70290,EM55_MOUSE,reviewed,"55 kDa erythrocyte membrane protein (p55) (Membrane protein, palmitoylated 1)",Mpp1,Mus musculus (Mouse),466
Mpp7,Q8BVD5,MPP7_MOUSE,reviewed,MAGUK p55 subfamily member 7,Mpp7,Mus musculus (Mouse),576
Mprip,P97434,MPRIP_MOUSE,reviewed,Myosin phosphatase Rho-interacting protein (Rho-interacting protein 3) (RIP3) (p116Rip),Mprip Kiaa0864 Mrip Rhoip3,Mus musculus (Mouse),1024
Mpzl1,Q3TEW6,MPZL1_MOUSE,reviewed,Myelin protein zero-like protein 1 (Protein zero-related),Mpzl1 Pzr,Mus musculus (Mouse),270
Mpzl3,Q3V3F6,MPZL3_MOUSE,reviewed,Myelin protein zero-like protein 3,Mpzl3,Mus musculus (Mouse),237
Mrfap1,Q9CQL7,MOFA1_MOUSE,reviewed,MORF4 family-associated protein 1 (Protein associated with MRG of 14 kDa),Mrfap1 Pam14 MNCb-1039,Mus musculus (Mouse),125
Mrpl12,Q9DB15,RM12_MOUSE,reviewed,"39S ribosomal protein L12, mitochondrial (L12mt) (MRP-L12)",Mrpl12 Rpml12,Mus musculus (Mouse),201
Mrpl24,Q9CQ06,RM24_MOUSE,reviewed,"39S ribosomal protein L24, mitochondrial (L24mt) (MRP-L24)",Mrpl24,Mus musculus (Mouse),216
Mrpl33,Q9CQP0,RM33_MOUSE,reviewed,"39S ribosomal protein L33, mitochondrial (L33mt) (MRP-L33)",Mrpl33,Mus musculus (Mouse),65
Mrpl36,Q99N90,RM36_MOUSE,reviewed,"39S ribosomal protein L36, mitochondrial (L36mt) (MRP-L36)",Mrpl36,Mus musculus (Mouse),102
Mrps18b,Q99N84,RT18B_MOUSE,reviewed,"28S ribosomal protein S18b, mitochondrial (MRP-S18-b) (Mrps18-b) (S18mt-b) (28S ribosomal protein S18-2, mitochondrial) (MRP-S18-2)",Mrps18b,Mus musculus (Mouse),254
Mrps24,Q9CQV5,RT24_MOUSE,reviewed,"28S ribosomal protein S24, mitochondrial (MRP-S24) (S24mt)",Mrps24,Mus musculus (Mouse),167
Mrps31,Q61733,RT31_MOUSE,reviewed,"28S ribosomal protein S31, mitochondrial (MRP-S31) (S31mt) (Imogen 38)",Mrps31 Imogn38,Mus musculus (Mouse),384
Mrs2,Q5NCE8,MRS2_MOUSE,reviewed,"Magnesium transporter MRS2 homolog, mitochondrial (MRS2-like protein)",Mrs2 Gm902 Mrs2l,Mus musculus (Mouse),434
Ms4a8a,Q99N10,M4A8_MOUSE,reviewed,Membrane-spanning 4-domains subfamily A member 8 (CD20 antigen-like 5) (Membrane-spanning 4-domains subfamily A member 8A),Ms4a8 Cd20l5 Ms4a8a,Mus musculus (Mouse),290
Msantd2,Q6NZR2,MSD2_MOUSE,reviewed,Myb/SANT-like DNA-binding domain-containing protein 2,Msantd2,Mus musculus (Mouse),559
Msi2,Q920Q6,MSI2H_MOUSE,reviewed,RNA-binding protein Musashi homolog 2 (Musashi-2),Msi2 Msi2h,Mus musculus (Mouse),346
Msl1,Q6PDM1,MSL1_MOUSE,reviewed,Male-specific lethal 1 homolog (MSL-1) (Hampin) (Male-specific lethal 1-like 1) (MSL1-like 1) (Male-specific lethal-1 homolog 1),Msl1 Msl1l1,Mus musculus (Mouse),616
Msn,P26041,MOES_MOUSE,reviewed,Moesin (Membrane-organizing extension spike protein),Msn,Mus musculus (Mouse),577
Mst1r,Q62190,RON_MOUSE,reviewed,Macrophage-stimulating protein receptor (MSP receptor) (EC 2.7.10.1) (Stem cell-derived tyrosine kinase) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain],Mst1r Ron Stk,Mus musculus (Mouse),1378
mt-Nd1,P03888,NU1M_MOUSE,reviewed,NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1),Mtnd1 mt-Nd1 Nd1,Mus musculus (Mouse),318
mt-Nd2,P03893,NU2M_MOUSE,reviewed,NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2),Mtnd2 mt-Nd2 Nd2,Mus musculus (Mouse),345
mt-Nd5,P03921,NU5M_MOUSE,reviewed,NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5),Mtnd5 mt-Nd5 Nd5,Mus musculus (Mouse),607
mt-Nd6,P03925,NU6M_MOUSE,reviewed,NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6),Mtnd6 mt-Nd6 Nd6,Mus musculus (Mouse),172
Mtch1,Q791T5,MTCH1_MOUSE,reviewed,Mitochondrial carrier homolog 1 (Mitochondrial carrier-like protein 1),Mtch1,Mus musculus (Mouse),389
Mtfr1,Q99MB2,MTFR1_MOUSE,reviewed,Mitochondrial fission regulator 1 (Chondrocyte protein with a poly-proline region),Mtfr1 Chppr Kiaa0009,Mus musculus (Mouse),328
Mthfd1,Q922D8,C1TC_MOUSE,reviewed,"C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Cleaved into: C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed] [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]",Mthfd1,Mus musculus (Mouse),935
Mthfd1l,Q3V3R1,C1TM_MOUSE,reviewed,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial (EC 6.3.4.3) (Formyltetrahydrofolate synthetase)",Mthfd1l Fthfsdc1,Mus musculus (Mouse),977
Mthfr,Q9WU20,MTHR_MOUSE,reviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20),Mthfr,Mus musculus (Mouse),654
Mtif2,Q91YJ5,IF2M_MOUSE,reviewed,"Translation initiation factor IF-2, mitochondrial (IF-2(Mt)) (IF-2Mt) (IF2(mt))",Mtif2,Mus musculus (Mouse),727
Mtm1,Q9Z2C5,MTM1_MOUSE,reviewed,"Myotubularin (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)",Mtm1,Mus musculus (Mouse),603
Mtmr11,Q3V1L6,MTMRB_MOUSE,reviewed,Myotubularin-related protein 11 (Inactive phosphatidylinositol 3-phosphatase 11),Mtmr11,Mus musculus (Mouse),700
Mtmr12,Q80TA6,MTMRC_MOUSE,reviewed,Myotubularin-related protein 12 (Inactive phosphatidylinositol 3-phosphatase 12),Mtmr12 Kiaa1682,Mus musculus (Mouse),747
Mtmr6,Q8VE11,MTMR6_MOUSE,reviewed,"Myotubularin-related protein 6 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)",Mtmr6,Mus musculus (Mouse),617
Mtmr7,Q9Z2C9,MTMR7_MOUSE,reviewed,"Myotubularin-related protein 7 (Inositol 1,3-bisphosphate phosphatase) (EC 3.1.3.-) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)",Mtmr7,Mus musculus (Mouse),660
Mtus1,Q5HZI1,MTUS1_MOUSE,reviewed,Microtubule-associated tumor suppressor 1 homolog (AT2 receptor-binding protein) (Angiotensin-II type 2 receptor-interacting protein) (Coiled-coiled tumor suppressor gene 1 protein) (Mitochondrial tumor suppressor 1 homolog),Mtus1 Atbp Atip Cctsg1 Kiaa1288 Mtsg1,Mus musculus (Mouse),1210
Muc13,P19467,MUC13_MOUSE,reviewed,Mucin-13 (MUC-13) (Cell surface antigen 114/A10) (Lymphocyte antigen 64),Muc13 Ly64,Mus musculus (Mouse),573
Muc2,Q80Z19,MUC2_MOUSE,reviewed,Mucin-2 (MUC-2) (Colonic mucin) (MCM) (Secreted gel-forming mucin) (Fragments),Muc2,Mus musculus (Mouse),2680
Muc4,Q8JZM8,MUC4_MOUSE,reviewed,Mucin-4 (MUC-4) (Ascites sialoglycoprotein) (ASGP) (Pancreatic adenocarcinoma mucin) (Testis mucin) [Cleaved into: Mucin-4 alpha chain (Ascites sialoglycoprotein 1) (ASGP-1); Mucin-4 beta chain (Ascites sialoglycoprotein 2) (ASGP-2)],Muc4,Mus musculus (Mouse),3443
Mvd,Q99JF5,MVD1_MOUSE,reviewed,Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate (diphospho)decarboxylase) (MDDase) (Mevalonate pyrophosphate decarboxylase),Mvd,Mus musculus (Mouse),401
Mx1,P09922,MX1_MOUSE,reviewed,Interferon-induced GTP-binding protein Mx1 (Influenza resistance protein) (Myxoma resistance protein 1) (Myxovirus resistance protein 1),Mx1,Mus musculus (Mouse),631
Mxd1,P50538,MAD1_MOUSE,reviewed,Max dimerization protein 1 (Max dimerizer 1) (Protein MAD),Mxd1 Mad Mad1,Mus musculus (Mouse),227
Myadm,O35682,MYADM_MOUSE,reviewed,Myeloid-associated differentiation marker (Myeloid up-regulated protein),Myadm Mug,Mus musculus (Mouse),320
Myb,P06876,MYB_MOUSE,reviewed,Transcriptional activator Myb (Proto-oncogene c-Myb),Myb,Mus musculus (Mouse),636
Mybbp1a,Q7TPV4,MBB1A_MOUSE,reviewed,Myb-binding protein 1A (Myb-binding protein of 160 kDa),Mybbp1a P160,Mus musculus (Mouse),1344
Myc,P01108,MYC_MOUSE,reviewed,Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64),Myc,Mus musculus (Mouse),439
Mycbp2,Q7TPH6,MYCB2_MOUSE,reviewed,E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.-) (Myc-binding protein 2) (Pam/highwire/rpm-1 protein) (Protein Magellan) (Protein associated with Myc),Mycbp2 Pam Phr1,Mus musculus (Mouse),4749
Mydgf,Q9CPT4,MYDGF_MOUSE,reviewed,Myeloid-derived growth factor (MYDGF),Mydgf D17Wsu104e,Mus musculus (Mouse),166
Myh14,Q6URW6,MYH14_MOUSE,reviewed,"Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc) (NMHC II-C)",Myh14,Mus musculus (Mouse),2000
Myh9,Q8VDD5,MYH9_MOUSE,reviewed,"Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)",Myh9,Mus musculus (Mouse),1960
Myl6,Q60605,MYL6_MOUSE,reviewed,Myosin light polypeptide 6 (17 kDa myosin light chain) (LC17) (Myosin light chain 3) (MLC-3) (Myosin light chain alkali 3) (Myosin light chain A3) (Smooth muscle and nonmuscle myosin light chain alkali 6),Myl6 Myln,Mus musculus (Mouse),151
Myl6b,Q8CI43,MYL6B_MOUSE,reviewed,Myosin light chain 6B (Smooth muscle and nonmuscle myosin light chain alkali 6B),Myl6b,Mus musculus (Mouse),207
Myl7,Q9QVP4,MLRA_MOUSE,reviewed,"Myosin regulatory light chain 2, atrial isoform (MLC-2a) (MLC2a) (Myosin light chain 2a) (Myosin regulatory light chain 7)",Myl7 Mylc2a,Mus musculus (Mouse),175
Mylip,Q8BM54,MYLIP_MOUSE,reviewed,E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain-interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP),Mylip,Mus musculus (Mouse),445
Mylk,Q6PDN3,MYLK_MOUSE,reviewed,"Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]",Mylk,Mus musculus (Mouse),1941
Mynn,Q99MD8,MYNN_MOUSE,reviewed,Myoneurin,Mynn,Mus musculus (Mouse),610
Myo10,F8VQB6,MYO10_MOUSE,reviewed,Unconventional myosin-X (Unconventional myosin-10),Myo10,Mus musculus (Mouse),2062
Myo19,Q5SV80,MYO19_MOUSE,reviewed,Unconventional myosin-XIX (Myosin head domain-containing protein 1),Myo19 Myohd1,Mus musculus (Mouse),963
Myo1a,O88329,MYO1A_MOUSE,reviewed,Unconventional myosin-Ia (Brush border myosin I) (BBM-I) (BBMI) (Myosin I heavy chain) (MIHC),Myo1a Bbmi Myhl,Mus musculus (Mouse),1043
Myo1b,P46735,MYO1B_MOUSE,reviewed,Unconventional myosin-Ib (MIH-L) (Myosin I alpha) (MMI-alpha) (MMIa),Myo1b,Mus musculus (Mouse),1107
Myo1c,Q9WTI7,MYO1C_MOUSE,reviewed,Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb),Myo1c,Mus musculus (Mouse),1063
