gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Nmd3,Q99L48,NMD3_MOUSE,reviewed,60S ribosomal export protein NMD3,Nmd3,Mus musculus (Mouse),503
Plrg1,Q922V4,PLRG1_MOUSE,reviewed,Pleiotropic regulator 1,Plrg1,Mus musculus (Mouse),513
Sh3d19,Q91X43,SH319_MOUSE,reviewed,SH3 domain-containing protein 19 (Kryn),Sh3d19,Mus musculus (Mouse),789
Lrba,Q9ESE1,LRBA_MOUSE,reviewed,Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein),Lrba Bgl Lba,Mus musculus (Mouse),2856
Mef2d,Q63943,MEF2D_MOUSE,reviewed,Myocyte-specific enhancer factor 2D,Mef2d,Mus musculus (Mouse),514
Glmp,Q9JHJ3,GLMP_MOUSE,reviewed,Glycosylated lysosomal membrane protein (Lysosomal protein NCU-G1),Glmp,Mus musculus (Mouse),404
Ssr2,Q9CPW5,SSRB_MOUSE,reviewed,Translocon-associated protein subunit beta (TRAP-beta) (Signal sequence receptor subunit beta) (SSR-beta),Ssr2,Mus musculus (Mouse),183
Gon4l,Q9DB00,GON4L_MOUSE,reviewed,GON-4-like protein (GON-4 homolog),Gon4l Gon4 Kiaa1606,Mus musculus (Mouse),2260
Pbxip1,Q3TVI8,PBIP1_MOUSE,reviewed,Pre-B-cell leukemia transcription factor-interacting protein 1 (Hematopoietic PBX-interacting protein),Pbxip1 Hpip,Mus musculus (Mouse),727
Tpm3,P21107,TPM3_MOUSE,reviewed,Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3),Tpm3 Tpm-5 Tpm5,Mus musculus (Mouse),285
Slc39a1,Q9JHI9,S40A1_MOUSE,reviewed,Solute carrier family 40 member 1 (Ferroportin-1) (Iron-regulated transporter 1) (Metal transporter protein 1) (MTP1),Slc40a1 Fpn1 Ireg1 Slc11a3 Slc39a1,Mus musculus (Mouse),570
Slc39a1,Q9QZ03,S39A1_MOUSE,reviewed,Zinc transporter ZIP1 (Solute carrier family 39 member 1) (Zinc-iron-regulated transporter-like) (Zrt- and Irt-like protein 1) (ZIP-1) (mZIP1),Slc39a1 Zip1 Zirtl,Mus musculus (Mouse),324
Crtc2,Q3U182,CRTC2_MOUSE,reviewed,CREB-regulated transcription coactivator 2 (Transducer of regulated cAMP response element-binding protein 2) (TORC-2) (Transducer of CREB protein 2),Crtc2 Torc2,Mus musculus (Mouse),692
Gatad2b,Q8VHR5,P66B_MOUSE,reviewed,Transcriptional repressor p66-beta (GATA zinc finger domain-containing protein 2B) (p66/p68),Gatad2b,Mus musculus (Mouse),594
Ilf2,Q9CXY6,ILF2_MOUSE,reviewed,Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa),Ilf2 Nf45,Mus musculus (Mouse),390
S100a14,Q9D2Q8,S10AE_MOUSE,reviewed,Protein S100-A14 (S100 calcium-binding protein A14) (S114),S100a14 Gm1020 S100a15,Mus musculus (Mouse),104
S100a16,Q9D708,S10AG_MOUSE,reviewed,Protein S100-A16 (Protein S100F) (S100 calcium binding protein A16),S100a16,Mus musculus (Mouse),124
Sprr2a3,Q4KL71,SP2A3_MOUSE,reviewed,Small proline-rich protein 2A3,Sprr2a3,Mus musculus (Mouse),83
S100a11,P50543,S10AB_MOUSE,reviewed,Protein S100-A11 (Calgizzarin) (Endothelial monocyte-activating polypeptide) (EMAP) (Protein S100-C) (S100 calcium-binding protein A11),S100a11 S100c,Mus musculus (Mouse),98
Pogz,Q8BZH4,POGZ_MOUSE,reviewed,Pogo transposable element with ZNF domain,Pogz Kiaa0461,Mus musculus (Mouse),1409
Pi4kb,Q8BKC8,PI4KB_MOUSE,reviewed,Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67),Pi4kb Pik4cb,Mus musculus (Mouse),816
Arnt,P53762,ARNT_MOUSE,reviewed,"Aryl hydrocarbon receptor nuclear translocator (ARNT protein) (Dioxin receptor, nuclear translocator) (Hypoxia-inducible factor 1-beta) (HIF-1-beta) (HIF1-beta)",Arnt,Mus musculus (Mouse),791
Ctss,O70370,CATS_MOUSE,reviewed,Cathepsin S (EC 3.4.22.27),Ctss Cats,Mus musculus (Mouse),340
Golph3l,Q8R088,GLP3L_MOUSE,reviewed,Golgi phosphoprotein 3-like,Golph3l,Mus musculus (Mouse),285
Mcl1,P97287,MCL1_MOUSE,reviewed,Induced myeloid leukemia cell differentiation protein Mcl-1 homolog (Bcl-2-related protein EAT/mcl1),Mcl1,Mus musculus (Mouse),331
Anp32e,P97822,AN32E_MOUSE,reviewed,Acidic leucine-rich nuclear phosphoprotein 32 family member E (Cerebellar postnatal development protein 1) (LANP-like protein) (LANP-L),Anp32e Cpd1,Mus musculus (Mouse),260
Otud7b,B2RUR8,OTU7B_MOUSE,reviewed,OTU domain-containing protein 7B (EC 3.4.19.12) (Cellular zinc finger anti-NF-kappa-B protein) (Zinc finger A20 domain-containing protein 1) (Zinc finger protein Cezanne),Otud7b,Mus musculus (Mouse),840
Txnip,Q8BG60,TXNIP_MOUSE,reviewed,Thioredoxin-interacting protein (Vitamin D3 up-regulated protein 1),Txnip Vdup1,Mus musculus (Mouse),397
Sec22b,O08547,SC22B_MOUSE,reviewed,Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1) (mSec22b),Sec22b Sec22l1,Mus musculus (Mouse),215
Notch2,O35516,NOTC2_MOUSE,reviewed,Neurogenic locus notch homolog protein 2 (Notch 2) (Motch B) [Cleaved into: Notch 2 extracellular truncation; Notch 2 intracellular domain],Notch2,Mus musculus (Mouse),2473
Reg4,Q9D8G5,REG4_MOUSE,reviewed,Regenerating islet-derived protein 4 (REG-4),Reg4,Mus musculus (Mouse),157
Hmgcs2,P54869,HMCS2_MOUSE,reviewed,"Hydroxymethylglutaryl-CoA synthase, mitochondrial (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)",Hmgcs2,Mus musculus (Mouse),508
Zfp697,Q569E7,ZN697_MOUSE,reviewed,Zinc finger protein 697,Znf697 Zfp697,Mus musculus (Mouse),569
Csde1,Q91W50,CSDE1_MOUSE,reviewed,Cold shock domain-containing protein E1,Csde1 D3Jfr1,Mus musculus (Mouse),798
Nras,P08556,RASN_MOUSE,reviewed,GTPase NRas (Transforming protein N-Ras),Nras,Mus musculus (Mouse),189
Trim33,Q99PP7,TRI33_MOUSE,reviewed,E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33),Trim33 Kiaa1113,Mus musculus (Mouse),1142
Slc16a1,P53986,MOT1_MOUSE,reviewed,Monocarboxylate transporter 1 (MCT 1) (Solute carrier family 16 member 1),Slc16a1 Mct1,Mus musculus (Mouse),493
Rhoc,Q62159,RHOC_MOUSE,reviewed,Rho-related GTP-binding protein RhoC (Silica-induced gene 61 protein) (SIG-61),Rhoc Arhc,Mus musculus (Mouse),193
Dram2,Q9CR48,DRAM2_MOUSE,reviewed,DNA damage-regulated autophagy modulator protein 2 (Transmembrane protein 77),Dram2 Tmem77,Mus musculus (Mouse),267
Eps8l3,Q91WL0,ES8L3_MOUSE,reviewed,Epidermal growth factor receptor kinase substrate 8-like protein 3 (EPS8-like protein 3) (Epidermal growth factor receptor pathway substrate 8-related protein 3) (EPS8-related protein 3),Eps8l3 Eps8r3,Mus musculus (Mouse),600
Gstm5,O35660,GSTM6_MOUSE,reviewed,Glutathione S-transferase Mu 6 (EC 2.5.1.18) (GST class-mu 6) (Glutathione-S-transferase class M5),Gstm6 Gstm5,Mus musculus (Mouse),218
Gstm5,P48774,GSTM5_MOUSE,reviewed,Glutathione S-transferase Mu 5 (EC 2.5.1.18) (Fibrous sheath component 2) (Fsc2) (GST class-mu 5),Gstm5 Fsc2 Gstm3,Mus musculus (Mouse),224
Slc25a24,Q8BMD8,SCMC1_MOUSE,reviewed,Calcium-binding mitochondrial carrier protein SCaMC-1 (Small calcium-binding mitochondrial carrier protein 1) (Solute carrier family 25 member 24),Slc25a24 Scamc1,Mus musculus (Mouse),475
Extl2,Q9ES89,EXTL2_MOUSE,reviewed,"Exostosin-like 2 (EC 2.4.1.223) (Alpha-1,4-N-acetylhexosaminyltransferase EXTL2) (Alpha-GalNAcT EXTL2) (EXT-related protein 2) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase)",Extl2 Extr2,Mus musculus (Mouse),330
Dbt,P53395,ODB2_MOUSE,reviewed,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial (EC 2.3.1.168) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (BCKAD-E2) (BCKADE2) (Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex) (Dihydrolipoamide branched chain transacylase) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase)",Dbt,Mus musculus (Mouse),482
Sass6,Q80UK7,SAS6_MOUSE,reviewed,Spindle assembly abnormal protein 6 homolog,Sass6 Sas6,Mus musculus (Mouse),654
F3,P20352,TF_MOUSE,reviewed,Tissue factor (TF) (Coagulation factor III) (CD antigen CD142),F3 Cf-3 Cf3,Mus musculus (Mouse),294
Dnttip2,Q8R2M2,TDIF2_MOUSE,reviewed,Deoxynucleotidyltransferase terminal-interacting protein 2,Dnttip2,Mus musculus (Mouse),758
Bcar3,Q9QZK2,BCAR3_MOUSE,reviewed,Breast cancer anti-estrogen resistance protein 3 (p130Cas-binding protein AND-34),Bcar3 And34,Mus musculus (Mouse),820
Pde5a,Q8CG03,PDE5A_MOUSE,reviewed,"cGMP-specific 3',5'-cyclic phosphodiesterase (EC 3.1.4.35) (cGMP-binding cGMP-specific phosphodiesterase) (CGB-PDE)",Pde5a Pde5,Mus musculus (Mouse),865
Fabp2,P55050,FABPI_MOUSE,reviewed,"Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)",Fabp2 Fabpi,Mus musculus (Mouse),132
Lef1,P27782,LEF1_MOUSE,reviewed,Lymphoid enhancer-binding factor 1 (LEF-1),Lef1 Lef-1,Mus musculus (Mouse),397
Dkk2,Q9QYZ8,DKK2_MOUSE,reviewed,Dickkopf-related protein 2 (Dickkopf-2) (Dkk-2) (mDkk-2),Dkk2,Mus musculus (Mouse),259
Slc39a8,Q91W10,S39A8_MOUSE,reviewed,Zinc transporter ZIP8 (Solute carrier family 39 member 8) (Zrt- and Irt-like protein 8) (ZIP-8),Slc39a8 Zip8,Mus musculus (Mouse),462
Ppp3ca,P63328,PP2BA_MOUSE,reviewed,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit alpha isoform) (CNA alpha),Ppp3ca Calna,Mus musculus (Mouse),521
Adh1,P00329,ADH1_MOUSE,reviewed,Alcohol dehydrogenase 1 (EC 1.1.1.1) (ADH-A2) (Alcohol dehydrogenase A subunit),Adh1 Adh-1,Mus musculus (Mouse),375
Adh5,P28474,ADHX_MOUSE,reviewed,Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase 2) (Alcohol dehydrogenase 5) (Alcohol dehydrogenase B2) (ADH-B2) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284),Adh5 Adh-2 Adh2,Mus musculus (Mouse),374
Ddah1,Q9CWS0,DDAH1_MOUSE,reviewed,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (EC 3.5.3.18) (DDAHI) (Dimethylargininase-1)",Ddah1,Mus musculus (Mouse),285
Fubp1,Q91WJ8,FUBP1_MOUSE,reviewed,Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1),Fubp1 D3Ertd330e,Mus musculus (Mouse),651
Usp33,Q8R5K2,UBP33_MOUSE,reviewed,Ubiquitin carboxyl-terminal hydrolase 33 (EC 3.4.19.12) (Deubiquitinating enzyme 33) (Ubiquitin thioesterase 33) (Ubiquitin-specific-processing protease 33) (VHL-interacting deubiquitinating enzyme 1),Usp33 Vdu1,Mus musculus (Mouse),909
Cryz,P47199,QOR_MOUSE,reviewed,Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta-crystallin),Cryz,Mus musculus (Mouse),331
Tpd52,Q62393,TPD52_MOUSE,reviewed,Tumor protein D52 (mD52),Tpd52,Mus musculus (Mouse),224
Pag1,Q3U1F9,PHAG1_MOUSE,reviewed,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 (Csk-binding protein) (Transmembrane phosphoprotein Cbp),Pag1 Cbp Pag,Mus musculus (Mouse),429
Slc10a5,Q5PT54,NTCP5_MOUSE,reviewed,Sodium/bile acid cotransporter 5 (Na(+)/bile acid cotransporter 5) (Solute carrier family 10 member 5),Slc10a5 Gm405,Mus musculus (Mouse),434
Car1,P13634,CAH1_MOUSE,reviewed,Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase I) (CA-I),Ca1 Car1,Mus musculus (Mouse),261
Armc1,Q9D7A8,ARMC1_MOUSE,reviewed,Armadillo repeat-containing protein 1,Armc1,Mus musculus (Mouse),282
Pde7a,P70453,PDE7A_MOUSE,reviewed,"High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A (EC 3.1.4.53) (P2A)",Pde7a,Mus musculus (Mouse),456
Gyg,Q9R062,GLYG_MOUSE,reviewed,Glycogenin-1 (GN-1) (GN1) (EC 2.4.1.186),Gyg1 Gyg,Mus musculus (Mouse),333
Fndc3b,Q6NWW9,FND3B_MOUSE,reviewed,Fibronectin type III domain-containing protein 3B (Factor for adipocyte differentiation 104) (HCV NS5A-binding protein 37),Fndc3b Fad104 Kiaa4164 Ns5abp37,Mus musculus (Mouse),1207
Mecom,P14404,MECOM_MOUSE,reviewed,Histone-lysine N-methyltransferase MECOM (EC 2.1.1.43) (Ecotropic virus integration site 1 protein) (EVI-1) (MDS1 and EVI1 complex locus protein) (Myelodysplasia syndrome 1 protein homolog),Mecom Evi1 Mds1 Prdm3,Mus musculus (Mouse),1232
Phc3,Q8CHP6,PHC3_MOUSE,reviewed,Polyhomeotic-like protein 3,Phc3,Mus musculus (Mouse),981
Anxa5,P48036,ANXA5_MOUSE,reviewed,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),Anxa5 Anx5,Mus musculus (Mouse),319
Ccna2,P51943,CCNA2_MOUSE,reviewed,Cyclin-A2 (Cyclin-A),Ccna2 Ccna Cyca Cyca2,Mus musculus (Mouse),422
Pcdh18,Q8VHR0,PCD18_MOUSE,reviewed,Protocadherin 18,Pcdh18 Kiaa1562,Mus musculus (Mouse),1134
Setd7,Q8VHL1,SETD7_MOUSE,reviewed,Histone-lysine N-methyltransferase SETD7 (EC 2.1.1.43) (Histone H3-K4 methyltransferase SETD7) (H3-K4-HMTase SETD7) (SET domain-containing protein 7) (SET7/9),Setd7 Kiaa1717 Set7 Set9,Mus musculus (Mouse),366
Cog6,Q8R3I3,COG6_MOUSE,reviewed,Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Component of oligomeric Golgi complex 6),Cog6 Kiaa1134,Mus musculus (Mouse),657
Nhlrc3,Q8CCH2,NHLC3_MOUSE,reviewed,NHL repeat-containing protein 3,Nhlrc3,Mus musculus (Mouse),347
Slc33a1,Q99J27,ACATN_MOUSE,reviewed,Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1),Slc33a1 Acatn,Mus musculus (Mouse),550
Ssr3,Q9DCF9,SSRG_MOUSE,reviewed,Translocon-associated protein subunit gamma (TRAP-gamma) (Signal sequence receptor subunit gamma) (SSR-gamma),Ssr3,Mus musculus (Mouse),185
Ccnl1,Q52KE7,CCNL1_MOUSE,reviewed,Cyclin-L1 (Cyclin-L) (Cyclin Ania-6a),Ccnl1 Ania6a Ccn1,Mus musculus (Mouse),532
Pdcd10,Q8VE70,PDC10_MOUSE,reviewed,Programmed cell death protein 10 (TF-1 cell apoptosis-related protein 15),Pdcd10 Tfar15,Mus musculus (Mouse),212
Rapgef2,Q8CHG7,RPGF2_MOUSE,reviewed,Rap guanine nucleotide exchange factor 2 (Cyclic nucleotide ras GEF) (CNrasGEF) (Neural RAP guanine nucleotide exchange protein) (nRap GEP) (PDZ domain-containing guanine nucleotide exchange factor 1) (PDZ-GEF1) (RA-GEF-1) (Ras/Rap1-associating GEF-1),Rapgef2 Kiaa0313 Pdzgef1,Mus musculus (Mouse),1496
Trim2,Q9ESN6,TRIM2_MOUSE,reviewed,Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (Neural activity-related RING finger protein) (RING-type E3 ubiquitin transferase TRIM2),Trim2 Kiaa0517 Narf,Mus musculus (Mouse),744
Fhdc1,Q3ULZ2,FHDC1_MOUSE,reviewed,FH2 domain-containing protein 1 (Inverted formin-1),Fhdc1 Inf1 Kiaa1727,Mus musculus (Mouse),1149
Fam160a1,Q505K2,F16A1_MOUSE,reviewed,Protein FAM160A1,Fam160a1,Mus musculus (Mouse),1081
Rps3a1,P97351,RS3A_MOUSE,reviewed,40S ribosomal protein S3a (Protein TU-11),Rps3a Rps3a1,Mus musculus (Mouse),264
Sema4a,Q62178,SEM4A_MOUSE,reviewed,Semaphorin-4A (Semaphorin-B) (Sema B),Sema4a Semab SemB,Mus musculus (Mouse),760
Lmna,P48678,LMNA_MOUSE,reviewed,Prelamin-A/C [Cleaved into: Lamin-A/C],Lmna Lmn1,Mus musculus (Mouse),665
Efna1,P52793,EFNA1_MOUSE,reviewed,"Ephrin-A1 (EPH-related receptor tyrosine kinase ligand 1) (LERK-1) (Immediate early response protein B61) [Cleaved into: Ephrin-A1, secreted form]",Efna1 Epgl1 Epl1 Lerk1,Mus musculus (Mouse),205
Zbtb7b,Q64321,ZBT7B_MOUSE,reviewed,Zinc finger and BTB domain-containing protein 7B (Krueppel-related zinc finger protein cKrox) (c-Krox) (T-helper-inducing POZ/Krueppel-like factor) (Zinc finger protein 67) (Zfp-67) (Zinc finger protein Th-POK),Zbtb7b Thpok Zfp67,Mus musculus (Mouse),544
Ubap2l,Q80X50,UBP2L_MOUSE,reviewed,Ubiquitin-associated protein 2-like,Ubap2l,Mus musculus (Mouse),1107
S100a1,P56565,S10A1_MOUSE,reviewed,Protein S100-A1 (S-100 protein alpha chain) (S-100 protein subunit alpha) (S100 calcium-binding protein A1),S100a1,Mus musculus (Mouse),94
Sprr1a,Q62266,SPR1A_MOUSE,reviewed,Cornifin-A (Small proline-rich protein 1A) (SPR1 A) (SPR1A),Sprr1a,Mus musculus (Mouse),144
Snx27,Q3UHD6,SNX27_MOUSE,reviewed,Sorting nexin-27,Snx27 Kiaa0488,Mus musculus (Mouse),539
Pip5k1a,P70181,PI51B_MOUSE,reviewed,Phosphatidylinositol 4-phosphate 5-kinase type-1 beta (PIP5K1-beta) (PtdIns(4)P-5-kinase 1 beta) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I alpha) (PIP5KIalpha) (Phosphatidylinositol 4-phosphate 5-kinase type I beta) (PIP5KIbeta),Pip5k1b Pip5k1a,Mus musculus (Mouse),539
Pip5k1a,P70182,PI51A_MOUSE,reviewed,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha (PIP5K1-alpha) (PtdIns(4)P-5-kinase 1 alpha) (EC 2.7.1.68) (68 kDa type I phosphatidylinositol 4-phosphate 5-kinase) (Phosphatidylinositol 4-phosphate 5-kinase type I alpha) (PIP5KIalpha) (Phosphatidylinositol 4-phosphate 5-kinase type I beta) (PI4P5KIbeta),Pip5k1a Pip5k1b,Mus musculus (Mouse),546
Rprd2,Q6NXI6,RPRD2_MOUSE,reviewed,Regulation of nuclear pre-mRNA domain-containing protein 2,Rprd2 Kiaa0460,Mus musculus (Mouse),1469
Man1a2,P39098,MA1A2_MOUSE,reviewed,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB (EC 3.2.1.113) (Mannosidase alpha class 1A member 2) (Processing alpha-1,2-mannosidase IB) (Alpha-1,2-mannosidase IB)",Man1a2 Man1b,Mus musculus (Mouse),641
Ptgfrn,Q9WV91,FPRP_MOUSE,reviewed,Prostaglandin F2 receptor negative regulator (CD9 partner 1) (CD9P-1) (Glu-Trp-Ile EWI motif-containing protein F) (EWI-F) (Prostaglandin F2-alpha receptor regulatory protein) (Prostaglandin F2-alpha receptor-associated protein) (CD antigen CD315),Ptgfrn Fprp,Mus musculus (Mouse),879
Atp1a1,Q8VDN2,AT1A1_MOUSE,reviewed,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1),Atp1a1,Mus musculus (Mouse),1023
Vangl1,Q80Z96,VANG1_MOUSE,reviewed,Vang-like protein 1 (Loop-tail protein 2) (Van Gogh-like protein 1),Vangl1 Lpp2,Mus musculus (Mouse),526
Hipk1,O88904,HIPK1_MOUSE,reviewed,Homeodomain-interacting protein kinase 1 (EC 2.7.11.1) (Nuclear body-associated kinase 2) (Protein kinase Myak),Hipk1 Kiaa0630 Myak Nbak2,Mus musculus (Mouse),1210
Magi3,Q9EQJ9,MAGI3_MOUSE,reviewed,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 (Membrane-associated guanylate kinase inverted 3) (MAGI-3)",Magi3 Kiaa1634,Mus musculus (Mouse),1476
Mov10,P23249,MOV10_MOUSE,reviewed,Putative helicase MOV-10 (EC 3.6.4.13) (Moloney leukemia virus 10 protein),Mov10 Gb110,Mus musculus (Mouse),1004
Cept1,Q8BGS7,CEPT1_MOUSE,reviewed,Choline/ethanolaminephosphotransferase 1 (mCEPT1) (EC 2.7.8.1) (EC 2.7.8.2),Cept1,Mus musculus (Mouse),416
Rbm15,Q0VBL3,RBM15_MOUSE,reviewed,RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15),Rbm15 Kiaa4257 Ott1,Mus musculus (Mouse),962
Strip1,Q8C079,STRP1_MOUSE,reviewed,Striatin-interacting protein 1 (Protein FAM40A),Strip1 Fam40a Kiaa1761,Mus musculus (Mouse),837
Ahcyl1,Q80SW1,SAHH2_MOUSE,reviewed,"S-adenosylhomocysteine hydrolase-like protein 1 (IP3R-binding protein released with inositol 1,4,5-trisphosphate) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2)",Ahcyl1 Irbit,Mus musculus (Mouse),530
Gstm1,P10649,GSTM1_MOUSE,reviewed,Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST 1-1) (GST class-mu 1) (Glutathione S-transferase GT8.7) (pmGT10),Gstm1,Mus musculus (Mouse),218
Gnai3,Q9DC51,GNAI3_MOUSE,reviewed,Guanine nucleotide-binding protein G(i) subunit alpha (G(i) alpha-3),Gnai3,Mus musculus (Mouse),354
Cyb561d1,A2AE42,C56D1_MOUSE,reviewed,Cytochrome b561 domain-containing protein 1,Cyb561d1,Mus musculus (Mouse),229
Sars,P26638,SYSC_MOUSE,reviewed,"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)",Sars Sars1 Sers,Mus musculus (Mouse),512
Tmem167b,Q80X45,KISHB_MOUSE,reviewed,Protein kish-B (Transmembrane protein 167B),Tmem167b,Mus musculus (Mouse),74
Fam102b,Q8BQS4,F102B_MOUSE,reviewed,Protein FAM102B,Fam102b,Mus musculus (Mouse),339
Slc30a7,Q9JKN1,ZNT7_MOUSE,reviewed,Zinc transporter 7 (ZnT-7) (Solute carrier family 30 member 7) (Znt-like transporter 2),Slc30a7 Znt7 Zntl2,Mus musculus (Mouse),378
Mfsd14a,P70187,MF14A_MOUSE,reviewed,Hippocampus abundant transcript 1 protein (Major facilitator superfamily domain-containing 14A),Mfsd14a Hiat1,Mus musculus (Mouse),490
Tmem56,Q8CGF5,TLCD4_MOUSE,reviewed,TLC domain-containing protein 4 (Transmembrane protein 56),Tlcd4 Tmem56,Mus musculus (Mouse),276
Fnbp1l,Q8K012,FBP1L_MOUSE,reviewed,Formin-binding protein 1-like (Transducer of Cdc42-dependent actin assembly protein 1) (Toca-1),Fnbp1l Toca1,Mus musculus (Mouse),605
Usp53,P15975,UBP53_MOUSE,reviewed,Inactive ubiquitin carboxyl-terminal hydrolase 53 (Inactive ubiquitin-specific peptidase 53) (Per-hexamer repeat protein 3) (Protein mambo),Usp53 Phxr3,Mus musculus (Mouse),1069
Ostc,Q78XF5,OSTC_MOUSE,reviewed,Oligosaccharyltransferase complex subunit OSTC,Ostc,Mus musculus (Mouse),149
Sgms2,Q9D4B1,SMS2_MOUSE,reviewed,Phosphatidylcholine:ceramide cholinephosphotransferase 2 (EC 2.7.8.27) (Sphingomyelin synthase 2),Sgms2,Mus musculus (Mouse),365
Tet2,Q4JK59,TET2_MOUSE,reviewed,Methylcytosine dioxygenase TET2 (EC 1.14.11.n2) (Protein Ayu17-449),Tet2 Kiaa1546,Mus musculus (Mouse),1912
Cisd2,Q9CQB5,CISD2_MOUSE,reviewed,CDGSH iron-sulfur domain-containing protein 2 (MitoNEET-related 1 protein) (Miner1) (Nervous system overexpressed protein 70),Cisd2 Cdgsh2 Noxp70 Zcd2,Mus musculus (Mouse),135
Metap1,Q8BP48,MAP11_MOUSE,reviewed,Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1),Metap1,Mus musculus (Mouse),386
Sh3glb1,Q9JK48,SHLB1_MOUSE,reviewed,Endophilin-B1 (SH3 domain-containing GRB2-like protein B1),Sh3glb1 Kiaa0491,Mus musculus (Mouse),365
Adgrl2,Q8JZZ7,AGRL2_MOUSE,reviewed,Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin-2),Adgrl2 Kiaa0786 Lphn2,Mus musculus (Mouse),1487
Ifi44,Q8BV66,IFI44_MOUSE,reviewed,Interferon-induced protein 44 (Microtubule-associated protein 44),Ifi44 Mtap44,Mus musculus (Mouse),422
Rabggtb,P53612,PGTB2_MOUSE,reviewed,Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Rab geranyl-geranyltransferase subunit beta) (Rab GG transferase beta) (Rab GGTase beta) (Rab geranylgeranyltransferase subunit beta) (Type II protein geranyl-geranyltransferase subunit beta),Rabggtb,Mus musculus (Mouse),339
Tgs1,Q8C735,LIN9_MOUSE,reviewed,Protein lin-9 homolog (mLin-9) (TUDOR gene similar 1 protein) (Type I interferon receptor beta chain-associated protein),Lin9 Bara Tgs1,Mus musculus (Mouse),542
