gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Sdcbp2,Q99JZ0,SDCB2_MOUSE,reviewed,Syntenin-2 (Syndecan-binding protein 2),Sdcbp2,Mus musculus (Mouse),292
Srxn1,Q9D975,SRXN1_MOUSE,reviewed,Sulfiredoxin-1 (EC 1.8.98.2) (Neoplastic progression protein 3),Srxn1 Npn3 Srx,Mus musculus (Mouse),136
Csnk2a1,Q60737,CSK21_MOUSE,reviewed,Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1),Csnk2a1 Ckiia,Mus musculus (Mouse),391
Tbc1d20,Q9D9I4,TBC20_MOUSE,reviewed,TBC1 domain family member 20,Tbc1d20,Mus musculus (Mouse),402
H13,Q9D8V0,HM13_MOUSE,reviewed,Minor histocompatibility antigen H13 (EC 3.4.23.-) (Presenilin-like protein 3) (Signal peptide peptidase),Hm13 H13 Psl3,Mus musculus (Mouse),378
Tm9sf4,Q8BH24,TM9S4_MOUSE,reviewed,Transmembrane 9 superfamily member 4,Tm9sf4 Kiaa0255,Mus musculus (Mouse),643
Asxl1,P59598,ASXL1_MOUSE,reviewed,Polycomb group protein ASXL1 (Additional sex combs-like protein 1),Asxl1 Kiaa0978,Mus musculus (Mouse),1514
Mapre1,Q61166,MARE1_MOUSE,reviewed,Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1),Mapre1,Mus musculus (Mouse),268
Raly,Q64012,RALY_MOUSE,reviewed,RNA-binding protein Raly (Maternally-expressed hnRNP C-related protein) (hnRNP associated with lethal yellow protein),Raly Merc,Mus musculus (Mouse),312
Trp53inp2,Q8CFU8,T53I2_MOUSE,reviewed,Tumor protein p53-inducible nuclear protein 2 (Diabetes and obesity-regulated protein),Tp53inp2 Dor Trp53inp2,Mus musculus (Mouse),221
Acss2,Q9QXG4,ACSA_MOUSE,reviewed,"Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acetyl-CoA synthetase 1) (AceCS1) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme) (Propionate--CoA ligase) (EC 6.2.1.17)",Acss2 Acas2 Acecs1,Mus musculus (Mouse),701
Ergic3,Q9CQE7,ERGI3_MOUSE,reviewed,Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Serologically defined breast cancer antigen NY-BR-84 homolog),Ergic3 Erv46 Sdbcag84,Mus musculus (Mouse),383
Romo1,P60603,ROMO1_MOUSE,reviewed,Reactive oxygen species modulator 1 (ROS modulator 1) (Protein MGR2 homolog),Romo1,Mus musculus (Mouse),79
Dlgap4,B1AZP2,DLGP4_MOUSE,reviewed,Disks large-associated protein 4 (DAP-4) (PSD-95/SAP90-binding protein 4) (SAP90/PSD-95-associated protein 4) (SAPAP-4),Dlgap4 Kiaa0964 Sapap4,Mus musculus (Mouse),992
Src,P05480,SRC_MOUSE,reviewed,Neuronal proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src),Src,Mus musculus (Mouse),535
Ralgapb,Q8BQZ4,RLGPB_MOUSE,reviewed,Ral GTPase-activating protein subunit beta (p170),Ralgapb Kiaa1219,Mus musculus (Mouse),1484
Top1,Q04750,TOP1_MOUSE,reviewed,DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I),Top1 Top-1,Mus musculus (Mouse),767
Plcg1,Q62077,PLCG1_MOUSE,reviewed,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-gamma-1) (PLC-gamma-1)",Plcg1 Plcg-1,Mus musculus (Mouse),1302
Sgk2,Q9QZS5,SGK2_MOUSE,reviewed,Serine/threonine-protein kinase Sgk2 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 2),Sgk2,Mus musculus (Mouse),367
Hnf4a,P49698,HNF4A_MOUSE,reviewed,Hepatocyte nuclear factor 4-alpha (HNF-4-alpha) (Nuclear receptor subfamily 2 group A member 1) (Transcription factor 14) (TCF-14) (Transcription factor HNF-4),Hnf4a Hnf-4 Hnf4 Nr2a1 Tcf14,Mus musculus (Mouse),474
Ywhab,Q9CQV8,1433B_MOUSE,reviewed,"14-3-3 protein beta/alpha (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]",Ywhab,Mus musculus (Mouse),246
Sys1,Q78S06,SYS1_MOUSE,reviewed,Protein SYS1 homolog,Sys1,Mus musculus (Mouse),156
Dbndd2,Q9CRD4,DBND2_MOUSE,reviewed,Dysbindin domain-containing protein 2,Dbndd2 D2Bwg0891e,Mus musculus (Mouse),158
Pigt,Q8BXQ2,PIGT_MOUSE,reviewed,GPI transamidase component PIG-T (Neuronal development-associated protein 7) (Phosphatidylinositol-glycan biosynthesis class T protein),Pigt Ndap7,Mus musculus (Mouse),582
Ube2c,Q9D1C1,UBE2C_MOUSE,reviewed,Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C),Ube2c Ubch10,Mus musculus (Mouse),179
Zswim3,Q8CFL8,ZSWM3_MOUSE,reviewed,Zinc finger SWIM domain-containing protein 3,Zswim3,Mus musculus (Mouse),695
Ctsa,P16675,PPGB_MOUSE,reviewed,Lysosomal protective protein (EC 3.4.16.5) (Carboxypeptidase C) (Carboxypeptidase L) (Cathepsin A) (Protective protein cathepsin A) (PPCA) (Protective protein for beta-galactosidase) [Cleaved into: Lysosomal protective protein 32 kDa chain; Lysosomal protective protein 20 kDa chain],Ctsa Ppgb,Mus musculus (Mouse),474
Pcif1,P59114,CAPAM_MOUSE,reviewed,mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase (EC 2.1.1.62) (Cap-specific adenosine methyltransferase) (CAPAM) (Phosphorylated CTD-interacting factor 1),Pcif1,Mus musculus (Mouse),706
"Spop,Pcif1",Q6ZWS8,SPOP_MOUSE,reviewed,Speckle-type POZ protein (HIB homolog 1) (PDX-1 C-terminal-interacting factor 1),Spop Pcif1,Mus musculus (Mouse),374
Ncoa3,O09000,NCOA3_MOUSE,reviewed,Nuclear receptor coactivator 3 (NCoA-3) (EC 2.3.1.48) (Amplified in breast cancer-1 protein homolog) (AIB-1) (CBP-interacting protein) (p/CIP) (pCIP) (Receptor-associated coactivator 3) (RAC-3) (Steroid receptor coactivator protein 3) (SRC-3) (Thyroid hormone receptor activator molecule 1) (ACTR) (TRAM-1),Ncoa3 Aib1 Pcip Rac3 Tram1,Mus musculus (Mouse),1398
Slc9a8,Q8R4D1,SL9A8_MOUSE,reviewed,Sodium/hydrogen exchanger 8 (Na(+)/H(+) exchanger 8) (NHE-8) (Solute carrier family 9 member 8),Slc9a8 Nhe8,Mus musculus (Mouse),576
Rnf114,Q9ET26,RN114_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF114 (EC 2.3.2.27) (RING finger protein 114) (RING-type E3 ubiquitin transferase RNF114) (Zinc finger protein 228) (Zinc finger protein 313),Rnf114 Zfp228 Zfp313 Znf228 Znf313,Mus musculus (Mouse),229
Pard6b,Q9JK83,PAR6B_MOUSE,reviewed,Partitioning defective 6 homolog beta (PAR-6 beta) (PAR-6B),Pard6b Par6b,Mus musculus (Mouse),371
Rbm38,Q62176,RBM38_MOUSE,reviewed,RNA-binding protein 38 (RNA-binding motif protein 38) (RNA-binding region-containing protein 1) (ssDNA-binding protein SEB4),Rbm38 Rnpc1 Seb4 Seb4l,Mus musculus (Mouse),237
Pck1,Q9Z2V4,PCKGC_MOUSE,reviewed,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32) (Serine-protein kinase PCK1) (EC 2.7.11.-)",Pck1 Pepck,Mus musculus (Mouse),622
Stx16,Q8BVI5,STX16_MOUSE,reviewed,Syntaxin-16,Stx16,Mus musculus (Mouse),326
Gnas,P63094,GNAS2_MOUSE,reviewed,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein),Gnas Gnas1 MNCb-5546,Mus musculus (Mouse),394
Gnas,Q6R0H6,ALEX_MOUSE,reviewed,Protein ALEX (Alternative gene product encoded by XL-exon),Gnas Gnas1,Mus musculus (Mouse),725
Gnas,Q6R0H7,GNAS1_MOUSE,reviewed,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas),Gnas Gnas1,Mus musculus (Mouse),1133
Gnas,Q9Z0F1,GNAS3_MOUSE,reviewed,Neuroendocrine secretory protein 55 (NESP55) [Cleaved into: LHAL tetrapeptide; GPIPIRRH peptide],Gnas Gnas1,Mus musculus (Mouse),257
Osbpl2,Q8BX94,OSBL2_MOUSE,reviewed,Oxysterol-binding protein-related protein 2 (ORP-2) (OSBP-related protein 2),Osbpl2,Mus musculus (Mouse),484
Rps21,Q9CQR2,RS21_MOUSE,reviewed,40S ribosomal protein S21,Rps21,Mus musculus (Mouse),83
Ogfr,Q99PG2,OGFR_MOUSE,reviewed,Opioid growth factor receptor (OGFr) (Zeta-type opioid receptor),Ogfr,Mus musculus (Mouse),633
Gid8,Q9D7M1,GID8_MOUSE,reviewed,Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1),Gid8,Mus musculus (Mouse),228
Dnajc5,P60904,DNJC5_MOUSE,reviewed,DnaJ homolog subfamily C member 5 (Cysteine string protein) (CSP) (Cysteine-string protein isoform alpha),Dnajc5 Cspalpha,Mus musculus (Mouse),198
Polr3k,Q9CQZ7,RPC10_MOUSE,reviewed,DNA-directed RNA polymerase III subunit RPC10 (RNA polymerase III subunit C10) (DNA-directed RNA polymerase III subunit K) (RNA polymerase III subunit C11) (RPC11),Polr3k,Mus musculus (Mouse),108
Hspa14,Q99M31,HSP7E_MOUSE,reviewed,Heat shock 70 kDa protein 14 (NST-1) (hsr.1),Hspa14 Hsp70-4,Mus musculus (Mouse),509
Cdc123,Q8CII2,CD123_MOUSE,reviewed,Cell division cycle protein 123 homolog,Cdc123,Mus musculus (Mouse),336
Taf3,Q5HZG4,TAF3_MOUSE,reviewed,Transcription initiation factor TFIID subunit 3 (140 kDa TATA box-binding protein-associated factor) (TBP-associated factor 3) (Transcription initiation factor TFIID 140 kDa subunit) (TAF(II)140) (TAF140) (TAFII-140) (TAFII140),Taf3,Mus musculus (Mouse),932
Atp5c1,Q91VR2,ATPG_MOUSE,reviewed,"ATP synthase subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)",Atp5f1c Atp5c1,Mus musculus (Mouse),298
Rbm17,Q8JZX4,SPF45_MOUSE,reviewed,Splicing factor 45 (45 kDa-splicing factor) (RNA-binding motif protein 17),Rbm17 Spf45,Mus musculus (Mouse),405
Fam188a,Q9CV28,MINY3_MOUSE,reviewed,Ubiquitin carboxyl-terminal hydrolase MINDY-3 (EC 3.4.19.12) (Deubiquitinating enzyme MINDY-3) (Protein CARP),MINDY3 Carp Fam188a,Mus musculus (Mouse),444
Rsu1,Q01730,RSU1_MOUSE,reviewed,Ras suppressor protein 1 (RSP-1) (Rsu-1),Rsu1 Rsp1,Mus musculus (Mouse),277
St8sia6,Q8K4T1,SIA8F_MOUSE,reviewed,"Alpha-2,8-sialyltransferase 8F (EC 2.4.99.-) (Sialyltransferase 8F) (SIAT8-F) (Sialyltransferase St8Sia VI) (ST8SiaVI)",St8sia6 Siat8f,Mus musculus (Mouse),398
Hacd1,Q9QY80,HACD1_MOUSE,reviewed,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Protein-tyrosine phosphatase-like member A),Hacd1 Ptpla,Mus musculus (Mouse),281
Arhgap21,Q6DFV3,RHG21_MOUSE,reviewed,Rho GTPase-activating protein 21 (Rho GTPase-activating protein 10) (Rho-type GTPase-activating protein 21),Arhgap21 Arhgap10 Kiaa1424,Mus musculus (Mouse),1944
Abi1,Q8CBW3,ABI1_MOUSE,reviewed,Abl interactor 1 (Abelson interactor 1) (Abi-1) (Ablphilin-1) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Spectrin SH3 domain-binding protein 1) (e3B1),Abi1 Ssh3bp1,Mus musculus (Mouse),481
Mastl,Q8C0P0,GWL_MOUSE,reviewed,Serine/threonine-protein kinase greatwall (GW) (GWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L),Mastl Gw Gwl,Mus musculus (Mouse),865
Spopl,Q2M2N2,SPOPL_MOUSE,reviewed,Speckle-type POZ protein-like (HIB homolog 2),Spopl,Mus musculus (Mouse),392
Ehmt1,Q5DW34,EHMT1_MOUSE,reviewed,Histone-lysine N-methyltransferase EHMT1 (EC 2.1.1.-) (Euchromatic histone-lysine N-methyltransferase 1) (Eu-HMTase1) (G9a-like protein 1) (GLP) (GLP1) (Lysine N-methyltransferase 1D),Ehmt1 Euhmtase1 Glp Kmt1d,Mus musculus (Mouse),1296
Tor4a,Q8BH02,TOR4A_MOUSE,reviewed,Torsin-4A (Torsin family 4 member A),Tor4a,Mus musculus (Mouse),426
Tubb4b,P68372,TBB4B_MOUSE,reviewed,Tubulin beta-4B chain (Tubulin beta-2C chain),Tubb4b Tubb2c,Mus musculus (Mouse),445
Camsap1,A2AHC3,CAMP1_MOUSE,reviewed,Calmodulin-regulated spectrin-associated protein 1,Camsap1,Mus musculus (Mouse),1581
Sec16a,E9QAT4,SC16A_MOUSE,reviewed,Protein transport protein Sec16A (SEC16 homolog A) (p250),Sec16a Kiaa0310 Sec16,Mus musculus (Mouse),2357
Surf4,Q64310,SURF4_MOUSE,reviewed,Surfeit locus protein 4,Surf4 Surf-4,Mus musculus (Mouse),269
Brd3,Q8K2F0,BRD3_MOUSE,reviewed,Bromodomain-containing protein 3 (Bromodomain-containing FSH-like protein FSRG2),Brd3 Fsrg2,Mus musculus (Mouse),726
Gtf3c4,Q8BMQ2,TF3C4_MOUSE,reviewed,General transcription factor 3C polypeptide 4 (EC 2.3.1.48) (TF3C-delta) (Transcription factor IIIC 90 kDa subunit) (TFIIIC 90 kDa subunit) (TFIIIC90) (Transcription factor IIIC subunit delta),Gtf3c4,Mus musculus (Mouse),817
Zdhhc12,Q8VC90,ZDH12_MOUSE,reviewed,Palmitoyltransferase ZDHHC12 (EC 2.3.1.225) (DHHC domain-containing cysteine-rich protein 12) (DHHC-12) (Zinc finger DHHC domain-containing protein 12),Zdhhc12,Mus musculus (Mouse),267
Dolk,Q8R2Y3,DOLK_MOUSE,reviewed,Dolichol kinase (EC 2.7.1.108) (Transmembrane protein 15),Dolk Tmem15,Mus musculus (Mouse),534
Fnbp1,Q80TY0,FNBP1_MOUSE,reviewed,Formin-binding protein 1 (Formin-binding protein 17),Fnbp1 Fbp17 Kiaa0554,Mus musculus (Mouse),616
Slc25a25,A2ASZ8,SCMC2_MOUSE,reviewed,Calcium-binding mitochondrial carrier protein SCaMC-2 (Small calcium-binding mitochondrial carrier protein 2) (Solute carrier family 25 member 25),Slc25a25 Kiaa1896 Scamc2,Mus musculus (Mouse),469
Fpgs,P48760,FOLC_MOUSE,reviewed,"Folylpolyglutamate synthase, mitochondrial (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase)",Fpgs,Mus musculus (Mouse),587
Stxbp1,O08599,STXB1_MOUSE,reviewed,Syntaxin-binding protein 1 (Protein unc-18 homolog 1) (Unc18-1) (Protein unc-18 homolog A) (Unc-18A),Stxbp1,Mus musculus (Mouse),594
Rab14,Q91V41,RAB14_MOUSE,reviewed,Ras-related protein Rab-14,Rab14,Mus musculus (Mouse),215
Strbp,Q91WM1,STRBP_MOUSE,reviewed,Spermatid perinuclear RNA-binding protein,Strbp Spnr,Mus musculus (Mouse),672
Psmb7,P70195,PSB7_MOUSE,reviewed,Proteasome subunit beta type-7 (EC 3.4.25.1) (Macropain chain Z) (Multicatalytic endopeptidase complex chain Z) (Proteasome subunit Z),Psmb7 Mmc14,Mus musculus (Mouse),277
Nr6a1,Q64249,NR6A1_MOUSE,reviewed,Nuclear receptor subfamily 6 group A member 1 (Germ cell nuclear factor) (GCNF) (mGCNF) (Retinoid receptor-related testis-specific receptor) (RTR),Nr6a1 Gcnf,Mus musculus (Mouse),495
Ppp6c,Q9CQR6,PPP6_MOUSE,reviewed,Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16),Ppp6c,Mus musculus (Mouse),305
Lrp1b,Q9JI18,LRP1B_MOUSE,reviewed,Low-density lipoprotein receptor-related protein 1B (LRP-1B) (Low-density lipoprotein receptor-related protein-deleted in tumor) (LRP-DIT),Lrp1b Lrpdit,Mus musculus (Mouse),4599
Zeb2,Q9R0G7,ZEB2_MOUSE,reviewed,Zinc finger E-box-binding homeobox 2 (Smad-interacting protein 1) (Zinc finger homeobox protein 1b),Zeb2 Sip1 Zfhx1b Zfx1b,Mus musculus (Mouse),1215
Mmadhc,Q99LS1,MMAD_MOUSE,reviewed,"Cobalamin trafficking protein CblD (CblD) (Methylmalonic aciduria and homocystinuria type D homolog, mitochondrial)",Mmadhc,Mus musculus (Mouse),296
Rnd3,P61588,RND3_MOUSE,reviewed,Rho-related GTP-binding protein RhoE (Rho family GTPase 3) (Rnd3),Rnd3 Arhe Rhoe,Mus musculus (Mouse),244
Prpf40a,Q9R1C7,PR40A_MOUSE,reviewed,Pre-mRNA-processing factor 40 homolog A (Formin-binding protein 11) (FBP-11) (Formin-binding protein 3),Prpf40a Fbp11 Fnbp3,Mus musculus (Mouse),953
Acvr1,P37172,ACVR1_MOUSE,reviewed,Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I) (TSK-7L),Acvr1 Acvrlk2 Tgfb1,Mus musculus (Mouse),509
Ly75,Q60767,LY75_MOUSE,reviewed,Lymphocyte antigen 75 (Ly-75) (DEC-205) (CD antigen CD205),Ly75 Cd205,Mus musculus (Mouse),1723
Itgb6,Q9Z0T9,ITB6_MOUSE,reviewed,Integrin beta-6,Itgb6,Mus musculus (Mouse),787
Rbms1,Q91W59,RBMS1_MOUSE,reviewed,"RNA-binding motif, single-stranded-interacting protein 1 (Single-stranded DNA-binding protein MSSP-1)",Rbms1 Mssp Mssp1,Mus musculus (Mouse),403
Ifih1,Q8R5F7,IFIH1_MOUSE,reviewed,Interferon-induced helicase C domain-containing protein 1 (EC 3.6.4.13) (Helicase with 2 CARD domains) (Helicard) (Interferon induced with helicase C domain protein 1) (Melanoma differentiation-associated protein 5) (MDA-5) (RIG-I-like receptor 2) (RLR-2),Ifih1,Mus musculus (Mouse),1025
Cobll1,Q3UMF0,COBL1_MOUSE,reviewed,Cordon-bleu protein-like 1 (Cobl-related protein 1),Cobll1 Coblr1 Kiaa0977,Mus musculus (Mouse),1273
Galnt3,P70419,GALT3_MOUSE,reviewed,Polypeptide N-acetylgalactosaminyltransferase 3 (EC 2.4.1.41) (Polypeptide GalNAc transferase 3) (GalNAc-T3) (pp-GaNTase 3) (Protein-UDP acetylgalactosaminyltransferase 3) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 3),Galnt3,Mus musculus (Mouse),633
Fastkd1,Q6DI86,FAKD1_MOUSE,reviewed,"FAST kinase domain-containing protein 1, mitochondrial",Fastkd1 Kiaa1800,Mus musculus (Mouse),829
Tlk1,Q8C0V0,TLK1_MOUSE,reviewed,Serine/threonine-protein kinase tousled-like 1 (EC 2.7.11.1) (Tousled-like kinase 1),Tlk1,Mus musculus (Mouse),766
Wipf1,Q8K1I7,WIPF1_MOUSE,reviewed,WAS/WASL-interacting protein family member 1 (Wiskott-Aldrich syndrome protein-interacting protein) (WASP-interacting protein),Wipf1 Waspip Wip,Mus musculus (Mouse),493
Atf2,P16951,ATF2_MOUSE,reviewed,Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (Activating transcription factor 2) (MXBP protein) (cAMP response element-binding protein CRE-BP1),Atf2,Mus musculus (Mouse),487
Atp5g3,P56384,AT5G3_MOUSE,reviewed,"ATP synthase F(0) complex subunit C3, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase membrane subunit c locus 3) (ATP synthase proteolipid P3) (ATPase protein 9) (ATPase subunit c)",Atp5mc3 Atp5g3,Mus musculus (Mouse),141
Nfe2l2,Q60795,NF2L2_MOUSE,reviewed,"Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nuclear factor, erythroid derived 2, like 2)",Nfe2l2 Nrf2,Mus musculus (Mouse),597
Nckap1,P28660,NCKP1_MOUSE,reviewed,Nck-associated protein 1 (NAP 1) (Brain protein H19) (MH19) (Membrane-associated protein HEM-2) (p125Nap1),Nckap1 Hem2 Kiaa0587 Nap1,Mus musculus (Mouse),1128
Ctnnd1,P30999,CTND1_MOUSE,reviewed,Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas)),Ctnnd1 Catns Kiaa0384,Mus musculus (Mouse),938
Zdhhc5,Q8VDZ4,ZDHC5_MOUSE,reviewed,Palmitoyltransferase ZDHHC5 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 5) (DHHC-5),Zdhhc5 Kiaa1748,Mus musculus (Mouse),715
Clp1,Q8K4Q8,COL12_MOUSE,reviewed,Collectin-12 (Collectin placenta protein 1) (CL-P1) (Scavenger receptor with C-type lectin),Colec12 Clp1 Srcl,Mus musculus (Mouse),742
Clp1,Q8R409,HEXI1_MOUSE,reviewed,Protein HEXIM1 (Cardiac lineage protein 1),Hexim1 Clp1,Mus musculus (Mouse),356
Clp1,Q99LI9,CLP1_MOUSE,reviewed,Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1),Clp1,Mus musculus (Mouse),425
Ptprj,Q64455,PTPRJ_MOUSE,reviewed,Receptor-type tyrosine-protein phosphatase eta (Protein-tyrosine phosphatase eta) (R-PTP-eta) (EC 3.1.3.48) (HPTP beta-like tyrosine phosphatase) (Protein-tyrosine phosphatase receptor type J) (R-PTP-J) (Susceptibility to colon cancer 1) (CD antigen CD148),Ptprj Byp Scc1,Mus musculus (Mouse),1238
Madd,Q80U28,MADD_MOUSE,reviewed,MAP kinase-activating death domain protein (Rab3 GDP/GTP exchange factor),Madd Kiaa0358,Mus musculus (Mouse),1577
Dgkz,Q80UP3,DGKZ_MOUSE,reviewed,Diacylglycerol kinase zeta (DAG kinase zeta) (EC 2.7.1.107) (Diglyceride kinase zeta) (DGK-zeta),Dgkz,Mus musculus (Mouse),929
Creb3l1,Q9Z125,CR3L1_MOUSE,reviewed,Cyclic AMP-responsive element-binding protein 3-like protein 1 (cAMP-responsive element-binding protein 3-like protein 1) (Old astrocyte specifically-induced substance) (OASIS) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 1 (Oasis N-terminal fragment) (OA-N)],Creb3l1 Oasis,Mus musculus (Mouse),519
Cry2,Q9R194,CRY2_MOUSE,reviewed,Cryptochrome-2,Cry2 Kiaa0658,Mus musculus (Mouse),592
Slc35c1,Q8BLX4,FUCT1_MOUSE,reviewed,GDP-fucose transporter 1 (Solute carrier family 35 member C1),Slc35c1 Fuct1,Mus musculus (Mouse),363
Cd82,P40237,CD82_MOUSE,reviewed,CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1 homolog) (CD antigen CD82),Cd82 Kai1,Mus musculus (Mouse),266
Alkbh3,Q8K1E6,ALKB3_MOUSE,reviewed,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 (EC 1.14.11.54) (Alkylated DNA repair protein alkB homolog 3) (mAbh3),Alkbh3 Abh3,Mus musculus (Mouse),286
Hsd17b12,O70503,DHB12_MOUSE,reviewed,Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62) (KIK-I),Hsd17b12 Kik1,Mus musculus (Mouse),312
Ttc17,E9PVB5,TTC17_MOUSE,reviewed,Tetratricopeptide repeat protein 17 (TPR repeat protein 17),Ttc17,Mus musculus (Mouse),1198
Api5,O35841,API5_MOUSE,reviewed,Apoptosis inhibitor 5 (API-5) (AAC-11),Api5,Mus musculus (Mouse),504
Trim44,Q9QXA7,TRI44_MOUSE,reviewed,Tripartite motif-containing protein 44 (Protein DIPB) (Protein Mc7),Trim44 Dipb,Mus musculus (Mouse),346
Cd44,P15379,CD44_MOUSE,reviewed,CD44 antigen (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Lymphocyte antigen 24) (Ly-24) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),Cd44 Ly-24,Mus musculus (Mouse),778
Ehf,O70273,EHF_MOUSE,reviewed,ETS homologous factor (ETS domain-containing transcription factor),Ehf,Mus musculus (Mouse),300
Caprin1,Q60865,CAPR1_MOUSE,reviewed,Caprin-1 (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105),Caprin1 Gpiap Gpiap1 Gpip137 M11s1 Rng105 G5E5,Mus musculus (Mouse),707
Hipk3,Q9ERH7,HIPK3_MOUSE,reviewed,Homeodomain-interacting protein kinase 3 (EC 2.7.11.1) (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Nuclear body-associated kinase 3) (Nbak3),Hipk3 Fist3,Mus musculus (Mouse),1192
Zfp770,Q8BIQ8,ZN770_MOUSE,reviewed,Zinc finger protein 770,Znf770 Zfp770,Mus musculus (Mouse),705
Bmf,Q91ZE9,BMF_MOUSE,reviewed,Bcl-2-modifying factor,Bmf,Mus musculus (Mouse),185
Ino80,Q6ZPV2,INO80_MOUSE,reviewed,Chromatin-remodeling ATPase INO80 (EC 3.6.4.-) (DNA helicase-related INO80 complex homolog 1) (DNA helicase-related protein INO80),Ino80 Inoc1 Kiaa1259,Mus musculus (Mouse),1559
Tmem87a,Q8BXN9,TM87A_MOUSE,reviewed,Transmembrane protein 87A,Tmem87a,Mus musculus (Mouse),555
Zfp106,O88466,ZN106_MOUSE,reviewed,Zinc finger protein 106 (Zfp-106) (H3a minor histocompatibility antigen) (Son of insulin receptor mutant) (Zinc finger protein 474),Znf106 H3a Sh3bp3 Sirm Zfp106 Znf474,Mus musculus (Mouse),1888
Ubr1,O70481,UBR1_MOUSE,reviewed,E3 ubiquitin-protein ligase UBR1 (EC 2.3.2.27) (N-recognin-1) (RING-type E3 ubiquitin transferase UBR1) (Ubiquitin-protein ligase E3-alpha-1) (Ubiquitin-protein ligase E3-alpha-I),Ubr1,Mus musculus (Mouse),1757
